,0,Synonym %,Model ID,loss,acc,f1,precision,recall,mcc,auc,runtime,samples_per_second,steps_per_second,epoch
95,eraser_movie_10_synonym_10_1,10,1,1.3557764291763306,0.5208333333333334,0.021276595744680847,0.5,0.010869565217391304,0.004278625498405581,0.6716304347826088,2.0999,95.241,6.191,1.0
63,eraser_movie_10_synonym_10_2,10,2,1.2601701021194458,0.5364583333333334,0.06315789473684211,1.0,0.03260869565217391,0.13135173437318343,0.7866304347826086,2.1185,94.404,6.136,1.0
48,eraser_movie_10_synonym_10_3,10,3,1.297668695449829,0.53125,0.042553191489361694,1.0,0.021739130434782608,0.10696563746013953,0.5976086956521738,2.0999,95.243,6.191,1.0
67,eraser_movie_10_synonym_10_4,10,4,1.2564159631729126,0.5260416666666666,0.02150537634408602,1.0,0.010869565217391304,0.07543786742456422,0.6916304347826087,2.1074,94.905,6.169,1.0
94,eraser_movie_10_synonym_10_5,10,5,1.356742024421692,0.53125,0.042553191489361694,1.0,0.021739130434782608,0.10696563746013953,0.6641304347826086,2.1119,94.699,6.155,1.0
38,eraser_movie_10_synonym_10_6,10,6,1.2651441097259521,0.53125,0.042553191489361694,1.0,0.021739130434782608,0.10696563746013953,0.7495652173913043,2.0966,95.392,6.2,1.0
11,eraser_movie_10_synonym_10_7,10,7,1.1112908124923706,0.53125,0.042553191489361694,1.0,0.021739130434782608,0.10696563746013953,0.6742391304347826,2.1025,95.124,6.183,1.0
6,eraser_movie_10_synonym_10_8,10,8,1.3557642698287964,0.53125,0.042553191489361694,1.0,0.021739130434782608,0.10696563746013953,0.6618478260869565,2.087,95.83,6.229,1.0
78,eraser_movie_10_synonym_10_9,10,9,1.3557764291763306,0.5208333333333334,0.021276595744680847,0.5,0.010869565217391304,0.004278625498405581,0.6716304347826088,2.0826,96.034,6.242,1.0
43,eraser_movie_10_synonym_10_10,10,10,1.2601701021194458,0.5364583333333334,0.06315789473684211,1.0,0.03260869565217391,0.13135173437318343,0.7866304347826086,2.0903,95.679,6.219,1.0
23,eraser_movie_10_synonym_10_11,10,11,1.297668695449829,0.53125,0.042553191489361694,1.0,0.021739130434782608,0.10696563746013953,0.5976086956521738,2.0853,95.912,6.234,1.0
74,eraser_movie_10_synonym_10_12,10,12,1.2564159631729126,0.5260416666666666,0.02150537634408602,1.0,0.010869565217391304,0.07543786742456422,0.6916304347826087,2.1093,94.818,6.163,1.0
64,eraser_movie_10_synonym_10_13,10,13,1.356742024421692,0.53125,0.042553191489361694,1.0,0.021739130434782608,0.10696563746013953,0.6641304347826086,2.1023,95.134,6.184,1.0
14,eraser_movie_10_synonym_10_14,10,14,1.2651441097259521,0.53125,0.042553191489361694,1.0,0.021739130434782608,0.10696563746013953,0.7495652173913043,2.1025,95.127,6.183,1.0
27,eraser_movie_10_synonym_10_15,10,15,1.1112908124923706,0.53125,0.042553191489361694,1.0,0.021739130434782608,0.10696563746013953,0.6742391304347826,2.108,94.875,6.167,1.0
79,eraser_movie_10_synonym_10_16,10,16,1.3557642698287964,0.53125,0.042553191489361694,1.0,0.021739130434782608,0.10696563746013953,0.6618478260869565,2.0998,95.245,6.191,1.0
8,eraser_movie_10_synonym_10_17,10,17,1.3557764291763306,0.5208333333333334,0.021276595744680847,0.5,0.010869565217391304,0.004278625498405581,0.6716304347826088,2.1149,94.565,6.147,1.0
30,eraser_movie_10_synonym_10_18,10,18,1.2601701021194458,0.5364583333333334,0.06315789473684211,1.0,0.03260869565217391,0.13135173437318343,0.7866304347826086,2.0929,95.56,6.211,1.0
90,eraser_movie_10_synonym_10_19,10,19,1.297668695449829,0.53125,0.042553191489361694,1.0,0.021739130434782608,0.10696563746013953,0.5976086956521738,2.103,95.102,6.182,1.0
71,eraser_movie_10_synonym_20_0,20,0,1.2833492755889893,0.5208333333333334,0.0,0.0,0.0,0.0,0.7943478260869564,2.0907,95.662,6.218,1.0
84,eraser_movie_10_synonym_20_1,20,1,1.336133360862732,0.5208333333333334,0.0,0.0,0.0,0.0,0.7071739130434782,2.1109,94.747,6.159,1.0
73,eraser_movie_10_synonym_20_2,20,2,1.2565747499465942,0.5208333333333334,0.0,0.0,0.0,0.0,0.7948913043478261,2.073,96.478,6.271,1.0
28,eraser_movie_10_synonym_20_3,20,3,1.1579095125198364,0.5260416666666666,0.02150537634408602,1.0,0.010869565217391304,0.07543786742456422,0.7564130434782609,2.0956,95.438,6.203,1.0
52,eraser_movie_10_synonym_20_4,20,4,1.3287156820297241,0.5208333333333334,0.0,0.0,0.0,0.0,0.7409782608695653,2.0909,95.653,6.217,1.0
22,eraser_movie_10_synonym_20_5,20,5,1.2888022661209106,0.5208333333333334,0.0,0.0,0.0,0.0,0.6818478260869565,2.0965,95.396,6.201,1.0
68,eraser_movie_10_synonym_20_6,20,6,1.3174723386764526,0.5208333333333334,0.0,0.0,0.0,0.0,0.8253260869565218,2.1186,94.404,6.136,1.0
50,eraser_movie_10_synonym_20_7,20,7,1.3072079420089722,0.5208333333333334,0.0,0.0,0.0,0.0,0.721195652173913,2.1092,94.824,6.164,1.0
80,eraser_movie_10_synonym_20_8,20,8,1.2833492755889893,0.5208333333333334,0.0,0.0,0.0,0.0,0.7943478260869564,2.1028,95.109,6.182,1.0
36,eraser_movie_10_synonym_20_9,20,9,1.336133360862732,0.5208333333333334,0.0,0.0,0.0,0.0,0.7071739130434782,2.0809,96.111,6.247,1.0
17,eraser_movie_10_synonym_20_10,20,10,1.2565747499465942,0.5208333333333334,0.0,0.0,0.0,0.0,0.7948913043478261,2.1174,94.457,6.14,1.0
51,eraser_movie_10_synonym_20_11,20,11,1.1579095125198364,0.5260416666666666,0.02150537634408602,1.0,0.010869565217391304,0.07543786742456422,0.7564130434782609,2.0925,95.578,6.213,1.0
41,eraser_movie_10_synonym_20_12,20,12,1.3287156820297241,0.5208333333333334,0.0,0.0,0.0,0.0,0.7409782608695653,2.1107,94.755,6.159,1.0
13,eraser_movie_10_synonym_20_13,20,13,1.2888022661209106,0.5208333333333334,0.0,0.0,0.0,0.0,0.6818478260869565,2.1142,94.597,6.149,1.0
18,eraser_movie_10_synonym_20_14,20,14,1.3174723386764526,0.5208333333333334,0.0,0.0,0.0,0.0,0.8253260869565218,2.1044,95.039,6.178,1.0
39,eraser_movie_10_synonym_20_15,20,15,1.3072079420089722,0.5208333333333334,0.0,0.0,0.0,0.0,0.721195652173913,2.1161,94.514,6.143,1.0
72,eraser_movie_10_synonym_20_16,20,16,1.2833492755889893,0.5208333333333334,0.0,0.0,0.0,0.0,0.7943478260869564,2.1023,95.133,6.184,1.0
40,eraser_movie_10_synonym_20_17,20,17,1.336133360862732,0.5208333333333334,0.0,0.0,0.0,0.0,0.7071739130434782,2.1006,95.209,6.189,1.0
47,eraser_movie_10_synonym_20_18,20,18,1.2565747499465942,0.5208333333333334,0.0,0.0,0.0,0.0,0.7948913043478261,2.1193,94.37,6.134,1.0
1,eraser_movie_10_synonym_20_19,20,19,1.1579095125198364,0.5260416666666666,0.02150537634408602,1.0,0.010869565217391304,0.07543786742456422,0.7564130434782609,2.1192,94.375,6.134,1.0
82,eraser_movie_10_synonym_1_0,1,0,1.25101637840271,0.5260416666666666,0.042105263157894736,0.6666666666666666,0.021739130434782608,0.04728662437434604,0.6704347826086956,1.969,101.574,6.602,2.0
93,eraser_movie_10_synonym_1_1,1,1,1.358145833015442,0.5260416666666666,0.042105263157894736,0.6666666666666666,0.021739130434782608,0.04728662437434604,0.6847826086956522,1.9772,101.154,6.575,2.0
96,eraser_movie_10_synonym_1_2,1,2,1.2210825681686401,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.6763043478260868,1.9929,100.358,6.523,2.0
77,eraser_movie_10_synonym_1_3,1,3,1.2261642217636108,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.7844565217391305,1.9755,101.241,6.581,2.0
92,eraser_movie_10_synonym_1_4,1,4,1.2839713096618652,0.5260416666666666,0.042105263157894736,0.6666666666666666,0.021739130434782608,0.04728662437434604,0.6889130434782609,1.9783,101.098,6.571,2.0
31,eraser_movie_10_synonym_1_5,1,5,1.361806869506836,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.6815217391304349,1.9783,101.099,6.571,2.0
58,eraser_movie_10_synonym_1_6,1,6,1.1670926809310913,0.5520833333333334,0.12244897959183672,1.0,0.06521739130434782,0.18725147156828456,0.7434782608695653,1.9815,100.933,6.561,2.0
99,eraser_movie_10_synonym_1_7,1,7,1.2161506414413452,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.6443478260869565,1.976,101.216,6.579,2.0
29,eraser_movie_10_synonym_1_8,1,8,1.2320283651351929,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6594565217391305,1.9707,101.485,6.597,2.0
97,eraser_movie_10_synonym_1_9,1,9,1.1996797323226929,0.5416666666666666,0.13725490196078433,0.7,0.07608695652173914,0.10361824896875171,0.6798913043478261,1.9893,100.538,6.535,2.0
66,eraser_movie_10_synonym_1_10,1,10,1.2130686044692993,0.5208333333333334,0.021276595744680847,0.5,0.010869565217391304,0.004278625498405581,0.6595652173913045,1.9754,101.247,6.581,2.0
24,eraser_movie_10_synonym_1_11,1,11,1.203168511390686,0.5520833333333334,0.12244897959183672,1.0,0.06521739130434782,0.18725147156828456,0.6913043478260869,1.9811,100.954,6.562,2.0
59,eraser_movie_10_synonym_1_12,1,12,1.298978328704834,0.5260416666666666,0.042105263157894736,0.6666666666666666,0.021739130434782608,0.04728662437434604,0.672391304347826,1.9661,101.726,6.612,2.0
81,eraser_movie_10_synonym_1_13,1,13,1.1369246244430542,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.6471739130434782,1.9855,100.729,6.547,2.0
