,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval,ID
23,imbalanced,10,SVM,3,0.7549851019940408,0.763861276783742,0.9680851063829788,0.6307916818679314,0.5854274282093599,0.939250797700894,1.0,6.646897422032013e-64,imbalanced103SVM
29,imbalanced,10,SVM,4,0.7586523034609214,0.7691295768471825,0.9637362637362638,0.6399124407150675,0.5872983374544788,0.9361615483202284,1.0,6.646897422032013e-64,imbalanced104SVM
45,imbalanced,20,SVM,1,0.8345175338070135,0.8541414141414143,0.9569941149841558,0.7712513681138271,0.6888978719572812,0.9465444807375422,1.0,6.646897422032013e-64,imbalanced201SVM
53,imbalanced,20,SVM,2,0.8200779280311712,0.8396977741474372,0.953617810760668,0.7500912075884714,0.6654567222934104,0.9441056055666543,1.0,6.646897422032013e-64,imbalanced202SVM
61,imbalanced,20,SVM,3,0.8340591336236535,0.8543259557344065,0.952445042620009,0.774534841298796,0.6856244185601019,0.9477183707603092,1.0,6.646897422032013e-64,imbalanced203SVM
15,original,100,SVM,0,0.8975475590190236,0.9195029713668288,0.9078947368421052,0.9314118934695368,0.7791716948960364,0.9535878208741444,1.0,6.646897422032013e-64,original1000SVM
7,paraphrase,10,SVM,0,0.662159064863626,0.6374815543531726,0.9781132075471698,0.4728201386355344,0.4781158870299999,0.939370683384384,1.0,6.646897422032013e-64,paraphrase100SVM
13,paraphrase,10,SVM,1,0.6600962640385056,0.6337367251173128,0.9808868501529052,0.4680773440350237,0.4774706522859856,0.941029514370762,0.9878787878787878,9.307459988955517e-08,paraphrase101SVM
19,paraphrase,10,SVM,2,0.655970662388265,0.6278204810314902,0.979876160990712,0.4618752280189712,0.471947072692377,0.940099894239684,1.0,6.646897422032013e-64,paraphrase102SVM
24,paraphrase,10,SVM,3,0.6488654595461838,0.6164246369554331,0.9824421388667198,0.4491061656329806,0.4652162922236716,0.9392109857572208,0.996965091635306,3.698093220209433e-10,paraphrase103SVM
13,paraphrase,10,SVM,4,0.6456566582626633,0.610971313537997,0.9845904298459044,0.4429040496169281,0.4628017931412752,0.9362499443307568,1.0,6.646897422032013e-64,paraphrase104SVM
46,paraphrase,20,SVM,1,0.8005959202383681,0.8173036539269215,0.962889658584859,0.7099598686610726,0.6432631535914073,0.9477134223831294,1.0,6.646897422032013e-64,paraphrase201SVM
62,paraphrase,20,SVM,3,0.8054091221636489,0.8222733933431023,0.9646365422396856,0.7165268150310106,0.651104623064873,0.9491483393021258,1.0,6.646897422032013e-64,paraphrase203SVM
66,paraphrase,20,SVM,4,0.8017419206967683,0.8184679958027282,0.9634387351778656,0.7114191900766144,0.6452099955772509,0.9454321080401682,0.9878787878787878,9.307459988955517e-08,paraphrase204SVM
78,paraphrase,50,SVM,1,0.8803575521430208,0.902063789868668,0.9285438393202008,0.8770521707406056,0.7506872820522741,0.9501394767585972,1.0,6.646897422032013e-64,paraphrase501SVM
87,paraphrase,50,SVM,3,0.8826495530598212,0.9037955655768508,0.931809376210771,0.8774170010944911,0.755974292367949,0.9509177215332232,1.0,6.646897422032013e-64,paraphrase503SVM
95,paraphrase,50,SVM,4,0.8847123538849415,0.9058228796105596,0.9303846153846154,0.8825246260488873,0.7592491431930734,0.95103974401595,1.0,6.646897422032013e-64,paraphrase504SVM
