,Unnamed: 0,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval
0,13,paraphrase,10,LSTM,0,0.51,0.0392156862745098,1.0,0.02,0.1005037815259212,0.6994,0.8985678841491289,0.0004090848335979
2,1,paraphrase,10,LSTM,1,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.6746,0.8693049274624923,0.0010869850351278
4,11,paraphrase,10,LSTM,2,0.5,0.0,0.0,0.0,0.0,0.5988,0.7584417048648262,0.0109975981092425
6,10,paraphrase,10,LSTM,3,0.5,0.0384615384615384,0.5,0.02,0.0,0.5887,0.6150966989381312,0.0583945881750083
8,4,paraphrase,10,LSTM,4,0.5,0.0,0.0,0.0,0.0,0.6173,0.6400431019968835,0.0462358799692174
10,0,paraphrase,20,LSTM,0,0.53,0.2295081967213114,0.6363636363636364,0.14,0.0958804158150889,0.5562000000000001,0.6797294208444249,0.0305926182053954
12,6,paraphrase,20,LSTM,1,0.53,0.2033898305084745,0.6666666666666666,0.12,0.1048284836721918,0.6758000000000001,0.8632258720256917,0.0012938147605104
14,7,paraphrase,20,LSTM,2,0.585,0.3565891472868217,0.7931034482758621,0.23,0.2414081162773061,0.6874,0.8896375227527807,0.0005669647218379
16,9,paraphrase,20,LSTM,3,0.575,0.2608695652173913,1.0,0.15,0.2847473987257497,0.6547,0.793940116816696,0.0060998434372301
18,8,paraphrase,20,LSTM,4,0.57,0.3582089552238806,0.7058823529411765,0.24,0.1863522038227507,0.7012,0.9137369367778512,0.0002180704665461
20,14,paraphrase,50,LSTM,0,0.575,0.4137931034482758,0.6666666666666666,0.3,0.1796053020267748,0.6134999999999999,0.8087806670128277,0.0046111333878507
22,5,paraphrase,50,LSTM,1,0.62,0.5308641975308642,0.6935483870967742,0.43,0.2594632500386463,0.7302,0.9636363636363636,7.320974809529922e-06
24,3,paraphrase,50,LSTM,2,0.65,0.4999999999999999,0.875,0.35,0.375,0.7561,0.9030303030303028,0.0003436121977632
26,2,paraphrase,50,LSTM,3,0.605,0.572972972972973,0.6235294117647059,0.53,0.2124031297181529,0.6514,0.8109906863144085,0.0044141850671481
28,12,paraphrase,50,LSTM,4,0.515,0.3741935483870968,0.5272727272727272,0.29,0.0335935506573512,0.5589999999999999,0.4941560956208609,0.146569450170854
